,author,published_at,updated_at,like_count,text
0,C S,2023-09-27T16:39:21Z,2023-09-27T16:39:21Z,0,Sea level has been suddenly rising? Sea levels have been rising at the same rate for hundreds of years. It’s easy to find the statistics on NOAA’s website.
1,Rumeysa,2023-09-20T19:21:03Z,2023-09-20T19:21:03Z,0,"I&#39;ve been searching for a good video for my students, this actually helps, thank you !"
2,Maulida Safira K.L.,2023-09-20T11:20:47Z,2023-09-20T11:20:47Z,0,Leave a mark
3,Home of Cricket 🏏,2023-09-18T02:29:52Z,2023-09-18T02:29:52Z,1,Very informative and the best video on the topic ❤
4,paul bang,2023-09-10T04:12:34Z,2023-09-10T04:12:34Z,0,"Let&#39;s face it: Root cause is human breeding run amok - overpopulation.<br>Until this is addressed, there&#39;s no hope of slowing down climate change.<br>E.g. India&#39;s population doubled between 1980 and 2020 ...<br>How many kids do you have? 😳"
5,R Wargo,2023-09-06T17:41:03Z,2023-09-06T17:41:03Z,0,Great propaganda! 😂
6,D4Z7V619,2023-09-01T22:01:35Z,2023-09-01T22:01:35Z,0,"CLIMATE CHANGE WAS INVENTED BU OUR CORRUPT GOVERNMENT, TO GAIN MORE AND MORE CONTROL !<br>WHAT A BUNCH OF BULLSHIT- REAL SCIENTISTS SAY THIS IS NOT TRUE ! CLIMATE CHANGE IS ABOUT GOVERNMENT CONTROL !!!"
7,Mark Warren,2023-08-25T13:54:27Z,2023-08-25T13:54:27Z,0,"It’s BS….that’s what climate change is….,I will break it down for you….Summer, winter, spring, and fall."
8,Mohammad Irfanul Haque,2023-08-24T14:03:12Z,2023-08-24T14:03:12Z,0,❤
9,Malika Darman Darman,2023-08-22T16:47:36Z,2023-08-22T16:47:36Z,0,"These crush courses are great 👍, if you subtitle them as we would be a great help for all....❤❤❤❤❤❤❤"
10,"Science, Technology and Agriculture",2023-08-21T20:24:29Z,2023-08-21T20:24:29Z,0,Yes.
11,Bob Britten,2023-08-19T23:18:03Z,2023-08-19T23:19:53Z,0,Ti is the latest war on the human race. And it is about 💸💸💸💸💸💸💸💸💸💸💸💸 money making machine for a few people of this world.Ok so the human race can help reduce pollution on the planet! There is technology available to day to reduce pollution on coal powered power stations and on cars trucks motorcycles and so on but the governments of the world are not interested in this technology Because no one wonted to Pay for it .cost 20 dollars per unit for cars !trucks ! Motorcycles!and son But nothing from Anyone .So as fare as I can see the Government&#39;s of this world are full of B.S. This is about Ajender 21 30 is alive an well as you can see.population control and population reduction in the world.
12,Angus MacKaskill,2023-08-18T04:08:45Z,2023-08-18T04:08:45Z,0,A scam so your government can keep you in fear
13,NASAfans,2023-08-16T08:28:31Z,2023-08-16T08:28:31Z,0,"Is climate change different than Global Warming? <a href=""https://youtu.be/bpSXbPbCuEM"">https://youtu.be/bpSXbPbCuEM</a>"
14,Ben Stevinson,2023-08-09T11:35:45Z,2023-08-09T11:35:45Z,0,Humans are Destroying the Natural Environment!!! 🛢🏭☠
15,maratakaxubasa,2023-08-09T07:16:50Z,2023-08-09T07:16:50Z,1,Coal and oil org dislike this video😂
